นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
"1,120",0105561174320,บจ.เพิ่มสินทรัพย์ อะไหล่แอร์ จำกัด,9/10/2561," 1,000,000 ",47595,ประกอบกิจการค้าเครื่องปรับอากาศทุกชนิด รวมทั้งอะไหล่และอุปกรณ์ของสินค้าดังกล่าว พร้อมทั้งติดตั้ง,4/206  ซอยเพิ่มสิน 20,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,121",0105561174443,บจ.เฟลิกซ์ สเปซ จำกัด,9/10/2561," 1,000,000 ",74101,ให้คำปรึกษาด้านออกแบบ-ตกแต่งภายในอาคารทุกชนิด งานก่อสร้างทุกชนิด งานโยธาทุกประเภท,47  หมู่บ้าน จามจุรี พาร์ค ซอยรามอินทรา 5 แยก 18 ถนนรามอินทรา,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,122",0105561174541,บจ.โกลด์ ทราเวล จำกัด,9/10/2561," 1,000,000 ",79120,ประกอบธุรกิจนำเที่ยว,58/181  หมู่บ้าน ซื่อตรง ซอยพหลโยธิน 54/1 แยก 4-43,แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,10220
"1,123",0105561174672,บจ.บียู เรียลเอสเตท จำกัด,9/10/2561," 1,000,000 ",68102,ประกอบกิจการจัดสรรที่ดินทุกประเภทเพื่อขาย ที่ดินเปล่าไม่มีสิ่งปลูกสร้าง ที่ดินสวนเกษตร,9  ซอยรามอินทรา 5 แยก 23,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,124",0105561175695,บจ.เคทูเค ไวร์เลส เน็ตเวิร์ค จำกัด,10/10/2561," 1,000,000 ",47413,ประกอบกิจการค้า และให้เช่า ให้บริการซ่อมแซม บำรุงรักษา รวมทั้งบริการติดตั้ง เครื่องวิทยุคมนาคมทุกชนิด,54/14  ซอยเพิ่มสิน 29 (ทองงอก),แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,125",0105561175954,บจ.ธนพล 24 จำกัด,10/10/2561," 1,000,000 ",52292,ประกอบกิจการ บริการเดินพิธีการศุลกากร,77/298  ถนนจตุโชติ,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,126",0105561176021,บจ.แอดวานซ์ แอดวานซ์ จำกัด,10/10/2561," 1,000,000 ",70209,รับบริการที่ปรึกษาและบริการจัดการด้านการบริการทั่วไป,8  ซอยพหลโยธิน 69/8,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,127",0105561176373,บจ.เดอะ บอยลิ่ง ชริมพ์ จำกัด,11/10/2561," 1,000,000 ",56101,การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,50/20  หมู่บ้าน ไลฟ์บางกอกบลูเลอวาร์ดรามอินทรา65 ซอยรามอินทรา65 ถนนรามอินทรา,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,128",0105561176420,บจ.แมงเม่าค้าเหล็ก จำกัด,11/10/2561," 1,000,000 ",47524,จำหน่ายวัสดุก่อสร้างทุกชนิด,299/443  ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,129",0105561176918,บจ.เดซี แบ้ก สปา 4289 จำกัด,11/10/2561," 1,000,000 ",95230,ให้บริการซ่อมแซม บำรุงรักษาเครื่องหนัง ให้คำแนะนำวิธีการบำรุงรักษาเครื่องหนัง,79/258  หมู่บ้าน โกลเด้นทาวน์ วัชรพล-สุขาภิบาล 5 ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,130",0105561177116,บจ.เจพี เมทัล เซอร์วิส จำกัด,12/10/2561," 1,000,000 ",46622,ประกอบกิจการซื้อมา ขายไป เหล็ก แม่พิมพ์ ในอุตสาหกรรมทุกประะเภท,485/189  หมู่บ้าน ทิมเรืองเวช ซอยพหลโยธิน 52 แยก 27,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,131",0105561177124,บจ.เวฟ เอเจนซี แอนด์ ชิปปิ้ง จำกัด,12/10/2561," 1,000,000 ",70209,ประกอบกิจการให้คำแนะนำและให้คำปรึกษา ให้บริการด้านการพัฒนาปรับปรุงคุณภาพ,2/193  ซอยแยกจากหมู่ที่ 6 เดิม,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,132",0105561177388,บจ.ทีเจ เทค โซลูชั่น จำกัด,12/10/2561," 1,000,000 ",43210,ประกอบกิจการรับติดตั้งกล้องวงจรปิด(CCTV)รวมถึงบจำหน่ายสินค้าและอะไหล่ของกล้องวงจรปิด,18/64  ซอยรามอินทรา 65 ถนนรามอินทรา,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,133",0105561177523,บจ.สยามฟอร์จูน เทรดดิ้ง จำกัด,12/10/2561," 1,000,000 ",47525,ประกอบกิจการจำหน่ายวัสดุ อุปกรณ์ก่อสร้าง วัสดุสิ้นเปลืองในโรงงาน สำนักงาน,79/178  ซอยคู้บอน 27 แยก 29,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,134",0105561177604,บจ.พิกซาเทค จำกัด,12/10/2561," 1,000,000 ",26600,ประกอบกิจการออกแบบ วิจัย พัฒนา และผลิตเครื่องมือ และอุปกรณ์ทางด้ารการถ่ายภาพรังสีเอกซเรย์,328  ซอยพหลโยธิน 53 ถนนพหลโยธิน,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
